iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0230+344,   3, 13.4, 2012.96, 2005.52, 2018.92,  38.3350835673, 0.018, +34.7149970420, 0.055
0230-288,   4, 11.7, 2013.49, 2007.03, 2018.73,  38.1530873891, 0.155, -28.6573086413, 0.164
0230-790, 113, 32.5, 2009.88, 1988.01, 2020.53,  37.3956109660, 0.090, -78.7960004766, 0.030
0231+045,   3, 12.8, 2013.67, 2005.52, 2018.35,  38.5298142398, 0.206,  +4.7786368914, 0.167
0232-042,   4,  3.0, 2017.73, 2016.05, 2019.06,  38.7805906364, 0.078,  -4.0348104491, 0.183
0233-133,   2,  1.0, 2019.99, 2019.48, 2020.50,  39.0401285926, 0.082, -13.1331620306, 0.496
0234+052,   3, 22.8, 2010.35, 1995.54, 2018.35,  39.3084917811, 0.050,  +5.4472137861, 0.179
0234+285,1376, 39.5, 1994.31, 1980.57, 2020.11,  39.4683569950, 0.007, +28.8024972413, 0.008
0234+301,   2,  0.2, 2019.82, 2019.75, 2019.90,  39.3410068826, 0.054, +30.3832828163, 0.022
0234+469,   2, 14.3, 2011.51, 2004.35, 2018.67,  39.5687636683, 0.009, +47.2051534850, 0.448
0234-301,  56, 14.7, 2013.69, 2004.33, 2018.99,  39.1298725467, 0.038, -29.8987612438, 0.066
0235+091,   1,  0.0, 2020.05, 2020.05, 2020.05,  39.4188724231, 0.000,  +9.3171229741, 0.000
0235+164,1039, 40.1, 2002.61, 1980.57, 2020.63,  39.6622087756, 0.004, +16.6164651713, 0.005
0235+205,   5,  4.4, 2017.10, 2014.48, 2018.92,  39.4609538520, 0.065, +20.7717932398, 0.392
0235-266,   4, 17.1, 2014.44, 2002.37, 2019.50,  39.3198406475, 0.093, -26.3980961464, 0.097
0235-618,  34, 14.7, 2010.87, 2003.60, 2018.30,  39.2218572042, 0.103, -61.6042176482, 0.071
0236+420,   2, 13.2, 2012.14, 2005.55, 2018.72,  40.0218860305, 0.082, +42.2729223120, 0.193
0236+610,  10,  4.9, 1996.77, 1994.92, 1999.86,  40.1319351253, 1.631, +61.2293317409, 0.562
0237+040,  43, 29.3, 2007.20, 1990.83, 2020.15,  39.9635960259, 0.031,  +4.2726143853, 0.049
0237+185,   5, 24.0, 2009.12, 1996.00, 2020.05,  40.1784013367, 0.416, +18.8000152243, 0.218
0237-027, 521, 26.7, 2014.91, 1993.73, 2020.46,  39.9394678017, 0.010,  -2.5780318161, 0.012
0237-233,  44, 28.2, 2003.92, 1990.64, 2018.84,  40.0340601851, 0.193, -23.1543693890, 0.230
0238+711,   3, 14.9, 2009.84, 2003.82, 2018.73,  40.8787139447, 0.188, +71.3383066778, 0.094
0238-052,   4, 13.3, 2013.96, 2005.52, 2018.84,  40.2340531362, 0.120,  -5.0783893641, 0.144
0238-084, 276, 32.0, 2000.39, 1988.04, 2020.03,  40.2699937456, 0.033,  -8.2557644055, 0.032
0239+108, 101, 31.1, 2002.69, 1987.44, 2018.56,  40.6215452417, 0.027, +11.0168688933, 0.033
0239+175,  34, 24.3, 2012.24, 1996.00, 2020.31,  40.6011177562, 0.035, +17.7163470666, 0.052
0240+110,   1,  0.0, 2019.02, 2019.02, 2019.02,  40.8235811834, 0.000, +11.2615852123, 0.000
0240-060,   4, 21.5, 2011.92, 1997.35, 2018.84,  40.8019561374, 0.022,  -5.8486931288, 0.232
0240-217,   4, 21.3, 2007.76, 1997.50, 2018.84,  40.6496244576, 0.087, -21.5405375870, 0.441
0241+622,  46, 29.4, 2014.57, 1990.91, 2020.35,  41.2404030630, 0.211, +62.4684764742, 0.389
0241-564,   3,  2.3, 2017.85, 2016.78, 2019.12,  40.8605375941, 0.145, -56.2117890857, 0.560
0242+131,   6, 14.0, 2015.91, 2005.52, 2019.54,  41.1903888572, 0.076, +13.3353393108, 0.077
0242+238,   5, 22.9, 2008.63, 1996.00, 2018.92,  41.3202332487, 0.065, +24.0931036206, 0.131
0242-113,   3, 11.6, 2013.34, 2007.03, 2018.58,  41.3539672533, 0.248, -11.1213367117, 0.257
0243+339,   2,  1.0, 2018.55, 2018.05, 2019.06,  41.6299276082, 0.202, +34.1907360773, 0.126
0243+354,   3, 11.1, 2013.15, 2006.96, 2018.05,  41.5878179115, 0.102, +35.6105550374, 0.061
0244+327,   3, 12.5, 2012.74, 2005.55, 2018.05,  41.9218010927, 0.067, +32.9088435470, 0.136
0244-128,   3, 21.2, 2010.17, 1997.35, 2018.58,  41.7436242139, 0.032, -12.6085549741, 0.189
0244-297,   4, 21.2, 2011.99, 1997.65, 2018.84,  41.5894227210, 0.289, -29.5849785997, 0.213
0244-452,  10, 10.5, 2016.61, 2008.06, 2018.52,  41.4754619734, 0.839, -44.9943378273, 1.374
0244-470,  10,  3.9, 2017.01, 2015.35, 2019.28,  41.5004915992, 0.543, -46.8547869200, 0.151
0245+043,   4, 12.8, 2013.76, 2005.52, 2018.35,  42.0617839372, 0.078,  +4.5780173535, 0.253
0245-167,   5, 21.1, 2012.17, 1997.50, 2018.58,  42.0322176221, 0.048, -16.5295516400, 0.150
0246+061,   7, 24.1, 2013.52, 1995.54, 2019.61,  42.3250671523, 0.048,  +6.3310966054, 0.172
0247+16A,   1,  0.0, 2020.05, 2020.05, 2020.05,  42.5725322327, 0.000, +17.1356452404, 0.000
0248+373,   2,  0.2, 2019.82, 2019.75, 2019.90,  42.9965415650, 0.142, +37.5717022669, 0.019
0248+430,  28, 20.1, 2000.54, 1990.11, 2010.18,  42.8939030969, 0.078, +43.2543970561, 0.061
0248+560,   2, 16.1, 2010.43, 2002.37, 2018.50,  42.9776171575, 0.009, +56.2720898237, 0.047
0248-266,   5, 14.5, 2014.12, 2004.35, 2018.88,  42.6482049928, 0.081, -26.4618098956, 0.153
0249+171,   3,  5.4, 2017.79, 2014.60, 2020.05,  43.0321612649, 0.136, +17.3118579985, 0.041
0249+383,   3, 21.6, 2009.70, 1996.43, 2018.05,  43.2870336373, 0.046, +38.5902775511, 0.085
0250+178,   4, 14.3, 2015.69, 2005.52, 2019.79,  43.3953426449, 0.049, +18.0951456161, 0.136
0250+320,   4, 12.7, 2013.09, 2005.42, 2018.07,  43.3902089362, 0.073, +32.2891366465, 0.113
0250+508,   3, 23.9, 2003.24, 1994.61, 2018.50,  43.4900331006, 0.183, +51.0490155212, 0.023
0250-001,   3,  7.5, 2015.50, 2010.88, 2018.38,  43.3376477090, 0.015,  +0.0999854512, 0.157
0250-122,   2,  2.5, 2017.34, 2016.11, 2018.58,  43.3486847880, 0.786, -12.0077785266, 1.160
0250-225,   5, 21.4, 2009.10, 1997.50, 2018.88,  43.1998069189, 0.068, -22.3237405092, 0.057
0251+235,   4, 12.5, 2013.90, 2005.52, 2018.05,  43.6029922913, 0.044, +23.7240206377, 0.254
0251+393,   4, 21.6, 2007.88, 1996.43, 2018.07,  43.6776335602, 0.035, +39.5263087421, 0.090
0251+785,   4, 23.4, 2004.45, 1995.30, 2018.73,  44.4690428938, 0.921, +78.7297383615, 0.099
0252+657,   2, 23.2, 2006.90, 1995.30, 2018.51,  44.2555957791, 0.022, +65.9431744100, 0.215
0252-549,  33, 31.2, 2006.08, 1988.04, 2019.19,  43.3715849666, 0.069, -54.6976211573, 0.082
0252-712,   1,  0.0, 2007.97, 2007.97, 2007.97,  43.1923101466, 0.000, -71.0764617748, 0.000
