iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0639+098,   8, 14.0, 2015.07, 2005.36, 2019.32, 100.4383244015, 0.885,  +9.7845362378, 1.017
0639+115,   6, 14.0, 2015.18, 2005.42, 2019.41, 100.6042334540, 0.246, +11.4758071901, 0.795
0639+352,   5, 13.1, 2014.02, 2005.52, 2018.58, 100.7422483703, 0.082, +35.1551052029, 0.124
0639-032,  23, 18.9, 2017.61, 2002.37, 2021.25, 100.4630539228, 0.041,  -3.3468283991, 0.037
0639-358,   1,  0.0, 2020.73, 2020.73, 2020.73, 100.3253038485, 0.000, -35.9093085651, 0.000
0640+074,   5, 14.0, 2014.80, 2005.36, 2019.32, 100.8419719601, 0.164,  +7.4145682726, 0.239
0640+090,   7, 15.0, 2013.90, 2004.35, 2019.32, 100.8601875647, 0.352,  +8.9605589357, 0.448
0641+126,   4,  5.2, 2017.31, 2014.25, 2019.41, 100.9993980332, 0.105, +12.6383628711, 0.171
0641+292,   5, 12.8, 2015.52, 2007.03, 2019.88, 101.1867325677, 0.093, +29.1844489541, 0.150
0641+392, 360, 25.0, 2015.71, 1996.44, 2021.48, 101.2237900083, 0.016, +39.2465372223, 0.016
0641-135,   5, 14.5, 2015.10, 2005.36, 2019.88, 100.8848406547, 0.058, -13.5971885315, 0.226
0641-248,   5, 12.5, 2015.34, 2006.96, 2019.51, 100.7811205278, 0.114, -24.8559201888, 0.290
0641-434,   1,  0.0, 2021.23, 2021.23, 2021.23, 100.6939975634, 0.000, -43.5269380670, 0.000
0642+449,1701, 38.1, 2006.10, 1983.36, 2021.47, 101.6334416536, 0.005, +44.8546083635, 0.003
0642-349,  16, 19.2, 2018.30, 2002.09, 2021.30, 101.1053375596, 0.136, -34.9949858607, 0.290
0643+057,   5, 13.8, 2014.82, 2005.50, 2019.32, 101.4469856771, 0.213,  +5.6895533401, 0.693
0643+307,   5, 22.9, 2013.22, 1996.37, 2019.32, 101.5634919576, 0.108, +30.6898976918, 0.066
0643+548,   5,  4.9, 2018.10, 2015.31, 2020.20, 101.8168573208, 0.145, +54.7702090232, 0.074
0644+258,   2,  0.9, 2019.90, 2019.44, 2020.36, 101.8510941850, 0.008, +25.8283412603, 0.350
0644+491,   5, 22.7, 2013.30, 1996.61, 2019.32, 102.1963276945, 0.117, +49.1224247800, 0.032
0644-390,   6, 15.1, 2013.28, 2004.35, 2019.44, 101.6288355086, 0.218, -39.0608627354, 0.267
0644-671,   7,  4.4, 2017.11, 2015.36, 2019.72, 101.1168505279, 0.572, -67.2159328938, 0.096
0645+209,   5, 11.9, 2015.54, 2007.58, 2019.44, 102.1363078120, 0.139, +20.8858115533, 0.173
0645+858,   6, 21.9, 2012.26, 1997.66, 2019.53, 105.6367387475, 1.485, +85.8312443644, 0.094
0645-160,   5, 14.5, 2015.11, 2005.42, 2019.88, 101.8748621287, 0.058, -16.0909333062, 0.218
0646+563,   5, 14.7, 2015.33, 2005.52, 2020.20, 102.7007943826, 0.089, +56.2762473532, 0.085
0646+600,   5, 25.6, 2013.11, 1994.61, 2020.26, 102.6302263691, 0.201, +60.0290430923, 0.136
0646-176,   5, 14.4, 2015.14, 2005.50, 2019.88, 102.1187438700, 0.086, -17.7348441211, 0.279
0646-306, 344, 32.2, 2016.41, 1989.31, 2021.48, 102.0587352528, 0.023, -30.7387943965, 0.021
0647+040,   5, 13.9, 2014.84, 2005.50, 2019.38, 102.6588920866, 0.080,  +3.9690111561, 0.225
0647+251,   4,  1.3, 2018.81, 2018.14, 2019.44, 102.6937092168, 0.104, +25.0498959873, 0.037
0647+286,   4,  1.2, 2019.05, 2018.67, 2019.88, 102.6273029009, 0.187, +28.5595277528, 0.206
0647-018,   5, 15.6, 2015.09, 2004.33, 2019.95, 102.6070760508, 0.020,  -1.8728237502, 0.167
0647-410,   9,  8.7, 2017.61, 2010.59, 2019.26, 102.3087950306, 0.354, -41.1480633206, 1.479
0647-475,   4,  7.9, 2013.77, 2009.31, 2017.23, 102.2018745066, 8.098, -47.5742291028,11.534
0648-086,   5, 14.6, 2015.30, 2005.36, 2019.95, 102.6882299440, 0.137,  -8.6667172107, 0.184
0648-165, 604, 34.1, 2014.78, 1987.22, 2021.31, 102.6024244024, 0.007, -16.6277015364, 0.008
0648-287,   6, 11.1, 2016.83, 2008.37, 2019.51, 102.6371993977, 0.185, -28.8216260622, 0.275
0649-209,   5, 13.6, 2015.16, 2005.96, 2019.53, 102.9921669087, 0.054, -21.0199765940, 0.154
0650+052,   5, 14.0, 2014.84, 2005.42, 2019.38, 103.3645155666, 0.124,  +5.1475163837, 0.276
0650+232,   4,  0.9, 2018.73, 2018.14, 2019.07, 103.4432198512, 0.091, +23.2292703671, 0.076
0650+239,   7,  2.7, 2017.93, 2016.78, 2019.44, 103.3524445448, 0.145, +23.8904893285, 0.083
0650+371,  27, 28.3, 1998.60, 1991.40, 2019.69, 103.4928451744, 0.108, +37.0946130486, 0.072
0650+453,   5, 22.7, 2013.31, 1996.61, 2019.32, 103.5988069117, 0.042, +45.2398737436, 0.037
0650+507,   5, 14.6, 2015.34, 2005.55, 2020.20, 103.5920548192, 0.074, +50.7066314113, 0.060
