iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
2214+350, 140, 517, 366, 389, 334.083,  35.304,  +0.00201,  +0.00447, 0.00371, 0.00485,-0.02791
2215+020,   3,  15,  10,  11, 334.451,   2.336,,,,,
2215+150,  41, 202, 150, 157, 334.545,  15.343,  +0.01067,  -0.00152, 0.00400, 0.00565, 0.05243
2216+178,   3,  11,   7,   8, 334.809,  18.110,,,,,
2216-038,  70, 406, 292, 333, 334.717,  -3.594,  -0.00133,  -0.00227, 0.00215, 0.00518, 0.06169
2220-119,   0,   7,   7,   4, 335.733, -11.741,,,,,
2220-163,   0,   6,   6,   4, 335.922, -16.118,,,,,
2220-318,   0,   5,   5,   4, 335.840, -31.617,,,,,
2220-351,   4,  63,  45,  60, 335.775, -34.930,,,,,
2223+210,   1,   5,   3,   3, 336.409,  21.302,,,,,
2223-052, 405,1220, 882, 924, 336.447,  -4.950,  +0.00179,  +0.00175, 0.00098, 0.00150,-0.05183
2223-114,   1,   5,   3,   4, 336.432, -11.228,,,,,
2227-088,  96, 570, 442, 447, 337.417,  -8.548,  -0.00135,  -0.00463, 0.00249, 0.00401, 0.02270
2227-136,   0,   5,   5,   2, 337.564, -13.429,,,,,
2227-399,   2,  11,   9,   6, 337.668, -39.714,,,,,
2229+695, 169, 683, 558, 479, 337.652,  69.774,  -0.00097,  -0.00073, 0.00223, 0.00216, 0.00672
2229-172,   1,   6,   3,   4, 338.094, -16.984,,,,,
2230+114,  35, 266, 213, 214, 338.152,  11.731,  -0.00428,  +0.01436, 0.00273, 0.00446,-0.11621
2232-488,  31, 172, 139, 127, 338.805, -48.600,  +0.00217,  -0.00341, 0.00726, 0.00881, 0.23299
2233-148,   2,  16,  12,  13, 339.142, -14.556,,,,,
2233-234,   0,   5,   4,   5, 339.109, -23.157,,,,,
2234+282, 524,1856,1446,1347, 339.094,  28.483,  -0.00540,  -0.00136, 0.00116, 0.00178, 0.15442
2235+731,  11,  79,  61,  64, 339.161,  73.381,  -0.11988,  -0.05016, 0.04885, 0.04932, 0.51415
2236+678,   1,   7,   6,   4, 339.563,  68.083,,,,,
2236-572,  16,  56,  40,  51, 339.800, -57.017,  -0.01264,  -0.02943, 0.00863, 0.01514,-0.10576
2239+096,   5,  37,  35,  31, 340.457,   9.898,  -0.00060,  -0.02224, 0.01042, 0.01502, 0.56607
2239-631,   0,   6,   2,   6, 340.783, -62.849,,,,,
2243+047,   9,  36,  21,  28, 341.474,   5.016,  +0.00866,  +0.04236, 0.01169, 0.02886,-0.20062
2243-123, 284, 810, 567, 641, 341.576, -12.114,  +0.00101,  -0.00450, 0.00190, 0.00382,-0.00095
2243-563,   0,   6,   6,   5, 341.570, -56.129,,,,,
2244-372,   3,  76,  50,  67, 341.766, -36.963,,,,,
2245-091,   0,   6,   4,   5, 341.967,  -8.839,,,,,
2245-128,   1,   7,   7,   5, 341.969, -12.622,,,,,
2245-328,  15,  71,  53,  59, 342.161, -32.598,  -0.00686,  -0.01178, 0.01351, 0.01130,-0.43509
2246+208,   2,   4,   3,   4, 342.252,  21.117,,,,,
2247-131,   0,   6,   5,   3, 342.498, -12.855,,,,,
2248+555,   0,   5,   5,   3, 342.679,  55.837,,,,,
2250+190,  50, 131, 102,  94, 343.281,  19.710,  +0.00363,  +0.00176, 0.00369, 0.00581, 0.03026
2251+158,  58,1160, 969,1015, 343.491,  16.148,  +0.00591,  +0.00525, 0.00587, 0.00723,-0.10699
2252-090,   3,  25,  19,  19, 343.768,  -8.734,,,,,
2253+417,   8,  43,  31,  33, 343.903,  42.048,  -0.00351,  -0.00600, 0.00709, 0.00970,-0.00620
2254+024,   5,  32,  26,  25, 344.323,   2.722,  -0.00924,  +0.00722, 0.01933, 0.02445, 0.00749
2254+074,  17, 134, 113, 105, 344.322,   7.720,  +0.00266,  -0.00978, 0.00401, 0.00531,-0.31876
2254-367,   1,   4,   3,   3, 344.294, -36.462,,,,,
2255-282, 474,2126,1629,1692, 344.525, -27.973,  +0.00036,  +0.00543, 0.00114, 0.00184, 0.16267
2256-084,   0,   5,   4,   5, 344.753,  -8.184,,,,,
2258+166,   0,   5,   4,   3, 345.179,  16.921,,,,,
2259+058,   0,   7,   7,   7, 345.473,   6.154,,,,,
