num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
60,  -0.445,   0.238,  -0.333,   1.675,   0.412,  -0.957,  -0.864,   2.080,   0.938,   1.280,   0.834,   0.878,   0.999,   0.868,   1.150,   0.762,  -1.302,  -0.992,  -1.168,   0.796,  -0.528,  -1.752,  -1.910,   1.355,  -0.437,   0.187,  -0.312,   1.502,   0.566,  -0.994,  -0.894,   2.027,   0.426,   1.510,   0.450,   2.699,   1.254,  -0.052,   0.037,   2.893
65,  -0.540,   0.354,  -0.553,   1.722,   0.489,  -1.115,  -0.439,   2.028,   0.961,   1.208,   0.732,   0.822,   1.002,   0.859,   1.111,   0.735,  -1.468,  -0.628,  -1.233,   0.943,  -0.689,  -1.959,  -1.523,   1.242,  -0.525,   0.258,  -0.556,   1.587,   0.660,  -1.214,  -0.581,   2.046,   0.477,   1.463,  -0.000,   2.527,   1.330,  -0.367,   0.665,   2.708
70,  -0.599,   0.163,  -0.435,   1.725,   0.534,  -1.007,  -0.635,   1.925,   1.024,   1.160,   0.713,   0.708,   0.748,   0.765,   1.102,   0.596,  -1.551,  -0.919,  -1.120,   0.972,  -0.180,  -1.816,  -1.673,   1.468,  -0.622,   0.096,  -0.445,   1.686,   0.643,  -1.055,  -0.773,   1.888,   0.324,   1.306,   0.259,   2.456,   1.205,  -0.201,   0.140,   2.468
75,  -0.706,   0.164,  -0.552,   1.732,   0.436,  -1.117,  -0.753,   2.116,   0.888,   1.083,   0.737,   0.576,   0.807,   0.700,   1.313,   0.627,  -1.492,  -0.853,  -1.366,   1.080,  -0.395,  -1.830,  -1.951,   1.482,  -0.745,   0.100,  -0.487,   1.752,   0.477,  -1.169,  -0.955,   2.144,   0.206,   1.429,   0.285,   2.278,   1.246,  -0.390,   0.516,   2.740
80,  -0.570,   0.080,  -0.484,   1.574,   0.596,  -1.027,  -0.701,   1.918,   0.819,   1.086,   0.639,   0.588,   0.681,   0.819,   1.027,   0.642,  -1.301,  -0.998,  -1.209,   0.987,   0.008,  -1.787,  -1.496,   1.274,  -0.698,   0.093,  -0.510,   1.590,   0.633,  -1.085,  -0.867,   1.875,   0.141,   1.125,   0.149,   2.191,   1.174,  -0.219,   0.173,   2.563
85,  -0.556,   0.107,  -0.410,   1.454,   0.603,  -1.066,  -0.753,   1.920,   0.796,   0.868,   0.751,   0.571,   0.691,   0.718,   1.022,   0.643,  -1.240,  -0.738,  -1.108,   0.847,  -0.133,  -1.679,  -1.707,   1.336,  -0.640,   0.237,  -0.379,   1.334,   0.685,  -1.079,  -0.948,   1.860,   0.323,   1.034,   0.368,   2.060,   1.239,  -0.422,   0.327,   2.561
90,  -0.606,   0.154,  -0.487,   1.455,   0.518,  -1.113,  -0.872,   1.897,   0.887,   0.836,   0.605,   0.602,   0.695,   0.746,   0.809,   0.602,  -1.445,  -0.628,  -1.056,   0.856,  -0.284,  -1.851,  -1.539,   1.368,  -0.553,   0.217,  -0.544,   1.427,   0.495,  -1.146,  -0.948,   1.782,   0.218,   0.958,   0.099,   1.984,   1.273,  -0.355,  -0.174,   2.366
95,  -0.629,   0.128,  -0.395,   1.433,   0.556,  -1.014,  -0.689,   1.752,   0.769,   0.919,   0.610,   0.570,   0.632,   0.658,   0.881,   0.592,  -1.309,  -0.669,  -1.107,   0.889,  -0.186,  -1.758,  -1.457,   1.162,  -0.675,   0.038,  -0.328,   1.347,   0.603,  -1.060,  -0.789,   1.732,   0.181,   0.961,   0.245,   2.021,   1.283,  -0.320,   0.229,   2.320
100,  -0.467,   0.108,  -0.450,   1.334,   0.717,  -0.991,  -0.827,   1.847,   0.719,   0.870,   0.579,   0.511,   0.669,   0.670,   0.818,   0.580,  -1.166,  -0.889,  -1.067,   0.839,   0.150,  -1.669,  -1.594,   1.380,  -0.501,   0.089,  -0.439,   1.351,   0.765,  -0.982,  -0.890,   1.850,   0.072,   1.065,  -0.021,   1.798,   1.350,  -0.340,  -0.094,   2.383
105,  -0.571,   0.041,  -0.418,   1.265,   0.705,  -1.090,  -0.810,   1.802,   0.612,   0.779,   0.586,   0.474,   0.601,   0.572,   0.690,   0.507,  -1.164,  -0.778,  -1.069,   0.744,   0.194,  -1.663,  -1.403,   1.322,  -0.603,  -0.054,  -0.404,   1.225,   0.705,  -1.119,  -0.850,   1.791,   0.068,   0.953,   0.152,   1.787,   1.345,  -0.521,  -0.070,   2.284
110,  -0.515,  -0.038,  -0.473,   1.249,   0.729,  -1.015,  -0.779,   1.762,   0.580,   0.810,   0.530,   0.452,   0.596,   0.601,   0.702,   0.524,  -1.051,  -0.802,  -1.012,   0.776,  -0.006,  -1.552,  -1.434,   1.274,  -0.582,   0.004,  -0.516,   1.230,   0.744,  -1.103,  -0.844,   1.734,   0.117,   0.860,   0.029,   1.635,   1.344,  -0.523,  -0.034,   2.312
115,  -0.480,   0.181,  -0.351,   1.232,   0.571,  -0.948,  -0.794,   1.691,   0.749,   0.752,   0.483,   0.477,   0.552,   0.649,   0.783,   0.579,  -1.233,  -0.521,  -0.827,   0.752,   0.086,  -1.500,  -1.471,   1.143,  -0.534,   0.250,  -0.341,   1.210,   0.499,  -0.971,  -0.843,   1.661,   0.134,   0.933,   0.137,   1.629,   1.129,  -0.315,  -0.066,   2.282
120,  -0.519,   0.121,  -0.357,   1.165,   0.625,  -1.032,  -0.904,   1.739,   0.551,   0.758,   0.539,   0.470,   0.558,   0.541,   0.664,   0.542,  -1.064,  -0.612,  -0.822,   0.738,   0.007,  -1.563,  -1.555,   1.096,  -0.566,   0.047,  -0.403,   1.088,   0.582,  -1.020,  -0.916,   1.707,   0.085,   0.796,   0.172,   1.558,   1.239,  -0.546,  -0.161,   2.361
125,  -0.389,   0.093,  -0.381,   1.118,   0.542,  -0.848,  -0.896,   1.603,   0.593,   0.729,   0.458,   0.385,   0.505,   0.528,   0.688,   0.504,  -0.927,  -0.568,  -0.883,   0.709,  -0.010,  -1.341,  -1.568,   1.103,  -0.505,   0.076,  -0.425,   1.113,   0.498,  -0.858,  -0.997,   1.663,   0.185,   0.917,   0.098,   1.470,   1.085,  -0.340,  -0.185,   2.064
130,  -0.585,   0.006,  -0.436,   1.166,   0.666,  -0.985,  -0.753,   1.648,   0.588,   0.655,   0.456,   0.395,   0.511,   0.587,   0.610,   0.491,  -1.156,  -0.542,  -0.836,   0.795,   0.138,  -1.612,  -1.270,   1.120,  -0.637,  -0.083,  -0.447,   1.148,   0.782,  -1.010,  -0.736,   1.712,  -0.106,   0.740,  -0.018,   1.534,   1.133,  -0.311,  -0.329,   2.092
135,  -0.520,   0.046,  -0.382,   1.061,   0.734,  -0.964,  -0.990,   1.795,   0.551,   0.607,   0.442,   0.400,   0.502,   0.554,   0.639,   0.443,  -1.002,  -0.537,  -0.881,   0.665,   0.301,  -1.490,  -1.593,   1.376,  -0.597,  -0.002,  -0.315,   1.032,   0.760,  -1.022,  -1.024,   1.766,  -0.061,   0.597,   0.014,   1.498,   1.230,  -0.484,  -0.485,   2.273
140,  -0.460,   0.083,  -0.486,   1.039,   0.684,  -0.969,  -0.817,   1.651,   0.512,   0.599,   0.375,   0.369,   0.537,   0.508,   0.565,   0.462,  -0.975,  -0.562,  -0.843,   0.675,   0.123,  -1.449,  -1.440,   1.131,  -0.485,   0.054,  -0.500,   1.017,   0.691,  -0.982,  -0.784,   1.659,   0.020,   0.712,  -0.071,   1.369,   1.208,  -0.427,  -0.248,   2.099
145,  -0.640,   0.107,  -0.347,   1.055,   0.617,  -1.007,  -0.800,   1.625,   0.509,   0.557,   0.450,   0.447,   0.424,   0.495,   0.599,   0.422,  -1.026,  -0.449,  -0.889,   0.608,   0.191,  -1.442,  -1.309,   1.174,  -0.650,   0.114,  -0.337,   0.969,   0.625,  -1.046,  -0.875,   1.646,  -0.159,   0.549,   0.094,   1.530,   1.021,  -0.535,  -0.270,   1.987
150,  -0.522,   0.008,  -0.505,   1.072,   0.721,  -1.060,  -0.832,   1.681,   0.476,   0.610,   0.415,   0.384,   0.455,   0.408,   0.558,   0.441,  -0.977,  -0.548,  -0.957,   0.662,   0.232,  -1.461,  -1.348,   1.230,  -0.541,   0.013,  -0.453,   1.058,   0.770,  -1.072,  -0.800,   1.760,  -0.074,   0.517,  -0.147,   1.437,   1.193,  -0.674,  -0.356,   2.127
155,  -0.610,  -0.037,  -0.476,   1.044,   0.768,  -1.080,  -0.863,   1.704,   0.376,   0.548,   0.394,   0.330,   0.417,   0.401,   0.459,   0.378,  -0.996,  -0.624,  -0.858,   0.720,   0.332,  -1.460,  -1.341,   1.313,  -0.596,  -0.032,  -0.492,   1.027,   0.825,  -1.072,  -0.845,   1.696,  -0.221,   0.473,  -0.095,   1.404,   1.221,  -0.663,  -0.411,   2.080
160,  -0.589,   0.082,  -0.377,   1.003,   0.675,  -1.020,  -0.848,   1.611,   0.483,   0.530,   0.356,   0.362,   0.422,   0.421,   0.433,   0.403,  -1.080,  -0.448,  -0.692,   0.692,   0.242,  -1.403,  -1.244,   1.131,  -0.595,   0.096,  -0.389,   0.973,   0.722,  -1.071,  -0.819,   1.693,  -0.147,   0.616,   0.005,   1.392,   1.044,  -0.659,  -0.452,   1.977
165,  -0.678,  -0.017,  -0.416,   1.055,   0.678,  -1.118,  -0.842,   1.656,   0.416,   0.517,   0.376,   0.319,   0.375,   0.401,   0.398,   0.371,  -1.055,  -0.514,  -0.768,   0.726,   0.253,  -1.453,  -1.188,   1.302,  -0.681,  -0.061,  -0.431,   1.070,   0.698,  -1.190,  -0.854,   1.679,  -0.302,   0.512,  -0.024,   1.391,   1.078,  -0.652,  -0.506,   2.057
170,  -0.631,   0.059,  -0.396,   0.999,   0.717,  -1.043,  -0.902,   1.672,   0.400,   0.510,   0.351,   0.324,   0.432,   0.380,   0.421,   0.357,  -1.008,  -0.445,  -0.745,   0.683,   0.303,  -1.406,  -1.325,   1.356,  -0.667,   0.009,  -0.404,   1.045,   0.740,  -1.070,  -0.905,   1.668,  -0.311,   0.521,  -0.085,   1.327,   1.111,  -0.672,  -0.505,   1.999
175,  -0.626,  -0.035,  -0.411,   0.989,   0.657,  -1.032,  -0.793,   1.573,   0.330,   0.535,   0.344,   0.309,   0.410,   0.416,   0.447,   0.438,  -0.978,  -0.573,  -0.760,   0.646,   0.212,  -1.449,  -1.235,   1.095,  -0.573,  -0.024,  -0.408,   1.007,   0.665,  -1.040,  -0.830,   1.606,  -0.283,   0.454,  -0.057,   1.283,   1.081,  -0.610,  -0.373,   2.019
180,  -0.630,   0.025,  -0.357,   0.949,   0.701,  -1.018,  -0.874,   1.620,   0.357,   0.473,   0.329,   0.289,   0.379,   0.425,   0.387,   0.377,  -1.040,  -0.458,  -0.687,   0.653,   0.321,  -1.471,  -1.244,   1.183,  -0.613,  -0.026,  -0.350,   0.918,   0.731,  -1.044,  -0.892,   1.671,  -0.302,   0.517,  -0.014,   1.248,   1.131,  -0.595,  -0.519,   1.972
185,  -0.570,  -0.013,  -0.437,   0.931,   0.665,  -1.011,  -0.793,   1.545,   0.339,   0.464,   0.332,   0.300,   0.362,   0.383,   0.350,   0.327,  -0.902,  -0.473,  -0.756,   0.642,   0.323,  -1.351,  -1.153,   1.240,  -0.634,  -0.034,  -0.419,   0.919,   0.648,  -0.984,  -0.817,   1.549,  -0.242,   0.407,  -0.070,   1.224,   1.011,  -0.714,  -0.529,   1.898
190,  -0.516,   0.061,  -0.441,   0.890,   0.727,  -1.008,  -0.836,   1.601,   0.350,   0.458,   0.288,   0.295,   0.398,   0.339,   0.409,   0.350,  -0.779,  -0.340,  -0.705,   0.635,   0.299,  -1.350,  -1.223,   1.288,  -0.548,   0.053,  -0.448,   0.880,   0.809,  -0.986,  -0.858,   1.611,  -0.138,   0.491,  -0.168,   1.129,   1.040,  -0.667,  -0.479,   1.946
195,  -0.613,   0.035,  -0.375,   0.909,   0.748,  -1.098,  -0.840,   1.660,   0.320,   0.477,   0.271,   0.306,   0.336,   0.366,   0.351,   0.296,  -0.978,  -0.399,  -0.635,   0.642,   0.403,  -1.426,  -1.182,   1.392,  -0.593,  -0.015,  -0.395,   0.927,   0.776,  -1.100,  -0.797,   1.634,  -0.289,   0.463,  -0.123,   1.176,   1.101,  -0.709,  -0.497,   1.984
200,  -0.557,   0.099,  -0.422,   0.876,   0.652,  -1.016,  -0.868,   1.565,   0.338,   0.387,   0.293,   0.281,   0.342,   0.334,   0.359,   0.346,  -0.866,  -0.274,  -0.697,   0.589,   0.309,  -1.319,  -1.194,   1.217,  -0.603,   0.073,  -0.403,   0.860,   0.715,  -1.056,  -0.838,   1.555,  -0.241,   0.506,  -0.122,   1.177,   0.940,  -0.732,  -0.602,   1.961
205,  -0.605,   0.035,  -0.392,   0.856,   0.715,  -1.082,  -0.851,   1.621,   0.300,   0.354,   0.256,   0.262,   0.290,   0.329,   0.324,   0.280,  -0.868,  -0.326,  -0.616,   0.579,   0.391,  -1.378,  -1.181,   1.371,  -0.600,   0.049,  -0.401,   0.885,   0.729,  -1.119,  -0.866,   1.662,  -0.361,   0.365,  -0.132,   1.136,   1.043,  -0.748,  -0.531,   1.876
210,  -0.580,   0.079,  -0.438,   0.879,   0.683,  -1.089,  -0.866,   1.615,   0.269,   0.385,   0.264,   0.228,   0.337,   0.270,   0.309,   0.276,  -0.826,  -0.332,  -0.693,   0.638,   0.298,  -1.367,  -1.168,   1.367,  -0.590,   0.077,  -0.463,   0.877,   0.716,  -1.085,  -0.844,   1.633,  -0.343,   0.437,  -0.174,   1.090,   0.982,  -0.816,  -0.540,   1.856
215,  -0.559,   0.083,  -0.398,   0.838,   0.713,  -1.036,  -0.869,   1.590,   0.266,   0.380,   0.211,   0.188,   0.297,   0.287,   0.337,   0.303,  -0.782,  -0.238,  -0.580,   0.648,   0.418,  -1.289,  -1.251,   1.304,  -0.586,   0.054,  -0.443,   0.848,   0.752,  -1.062,  -0.834,   1.621,  -0.297,   0.449,  -0.201,   1.015,   0.976,  -0.745,  -0.533,   1.881
220,  -0.638,   0.110,  -0.368,   0.857,   0.666,  -1.041,  -0.903,   1.581,   0.240,   0.347,   0.228,   0.222,   0.266,   0.249,   0.319,   0.276,  -0.871,  -0.253,  -0.593,   0.669,   0.426,  -1.261,  -1.144,   1.261,  -0.632,   0.117,  -0.376,   0.838,   0.695,  -1.032,  -0.908,   1.592,  -0.396,   0.415,  -0.165,   1.102,   0.908,  -0.808,  -0.707,   1.854
225,  -0.581,   0.061,  -0.430,   0.837,   0.724,  -1.063,  -0.894,   1.610,   0.236,   0.347,   0.236,   0.238,   0.250,   0.241,   0.283,   0.247,  -0.794,  -0.280,  -0.665,   0.579,   0.493,  -1.310,  -1.180,   1.368,  -0.612,   0.006,  -0.397,   0.844,   0.742,  -1.065,  -0.888,   1.596,  -0.394,   0.422,  -0.223,   1.073,   0.944,  -0.819,  -0.636,   1.885
230,  -0.562,   0.057,  -0.417,   0.802,   0.700,  -1.031,  -0.858,   1.555,   0.215,   0.331,   0.202,   0.214,   0.252,   0.251,   0.246,   0.241,  -0.786,  -0.283,  -0.606,   0.589,   0.400,  -1.304,  -1.095,   1.295,  -0.558,   0.023,  -0.400,   0.795,   0.763,  -1.040,  -0.832,   1.553,  -0.368,   0.409,  -0.221,   1.010,   0.920,  -0.774,  -0.648,   1.805
235,  -0.577,   0.040,  -0.423,   0.813,   0.713,  -1.076,  -0.857,   1.591,   0.207,   0.324,   0.188,   0.188,   0.252,   0.228,   0.240,   0.205,  -0.763,  -0.229,  -0.614,   0.642,   0.437,  -1.302,  -1.065,   1.394,  -0.591,  -0.046,  -0.403,   0.823,   0.762,  -1.089,  -0.852,   1.625,  -0.373,   0.365,  -0.258,   0.990,   0.972,  -0.839,  -0.660,   1.770
240,  -0.588,   0.065,  -0.398,   0.802,   0.701,  -1.019,  -0.868,   1.550,   0.207,   0.275,   0.213,   0.170,   0.241,   0.276,   0.205,   0.238,  -0.806,  -0.228,  -0.614,   0.639,   0.485,  -1.283,  -1.053,   1.332,  -0.596,   0.062,  -0.394,   0.807,   0.723,  -1.051,  -0.875,   1.577,  -0.392,   0.320,  -0.179,   0.962,   0.915,  -0.754,  -0.672,   1.775
245,  -0.619,   0.002,  -0.411,   0.798,   0.740,  -1.069,  -0.874,   1.596,   0.182,   0.241,   0.157,   0.174,   0.206,   0.199,   0.210,   0.183,  -0.797,  -0.256,  -0.551,   0.654,   0.593,  -1.219,  -1.068,   1.404,  -0.614,   0.010,  -0.397,   0.800,   0.758,  -1.083,  -0.876,   1.618,  -0.458,   0.270,  -0.267,   0.953,   0.934,  -0.914,  -0.696,   1.749
250,  -0.585,   0.058,  -0.394,   0.760,   0.704,  -1.033,  -0.884,   1.556,   0.177,   0.225,   0.174,   0.190,   0.192,   0.212,   0.200,   0.214,  -0.739,  -0.144,  -0.543,   0.570,   0.517,  -1.227,  -1.097,   1.334,  -0.588,   0.042,  -0.395,   0.749,   0.739,  -1.026,  -0.870,   1.589,  -0.403,   0.256,  -0.227,   0.936,   0.870,  -0.846,  -0.689,   1.728
255,  -0.610,   0.028,  -0.411,   0.786,   0.727,  -1.059,  -0.887,   1.583,   0.187,   0.212,   0.169,   0.177,   0.176,   0.182,   0.191,   0.179,  -0.796,  -0.210,  -0.594,   0.625,   0.573,  -1.205,  -1.041,   1.399,  -0.614,   0.026,  -0.404,   0.770,   0.747,  -1.037,  -0.875,   1.605,  -0.407,   0.231,  -0.268,   0.952,   0.895,  -0.911,  -0.718,   1.748
260,  -0.563,   0.033,  -0.419,   0.750,   0.715,  -1.049,  -0.871,   1.558,   0.154,   0.222,   0.136,   0.147,   0.168,   0.160,   0.180,   0.170,  -0.700,  -0.161,  -0.542,   0.620,   0.598,  -1.195,  -1.049,   1.418,  -0.573,   0.028,  -0.413,   0.735,   0.739,  -1.067,  -0.874,   1.583,  -0.435,   0.208,  -0.301,   0.886,   0.835,  -0.935,  -0.730,   1.674
265,  -0.604,   0.040,  -0.417,   0.770,   0.728,  -1.077,  -0.906,   1.599,   0.147,   0.171,   0.126,   0.118,   0.134,   0.151,   0.172,   0.158,  -0.729,  -0.111,  -0.526,   0.662,   0.648,  -1.198,  -1.052,   1.466,  -0.611,   0.024,  -0.424,   0.768,   0.747,  -1.087,  -0.907,   1.602,  -0.481,   0.216,  -0.286,   0.886,   0.834,  -0.928,  -0.763,   1.730
270,  -0.577,   0.000,  -0.440,   0.760,   0.748,  -1.032,  -0.870,   1.558,   0.131,   0.184,   0.123,   0.123,   0.146,   0.141,   0.170,   0.149,  -0.688,  -0.165,  -0.535,   0.652,   0.650,  -1.151,  -1.031,   1.447,  -0.603,   0.005,  -0.438,   0.770,   0.750,  -1.059,  -0.876,   1.582,  -0.420,   0.166,  -0.331,   0.840,   0.880,  -0.885,  -0.742,   1.675
275,  -0.589,   0.016,  -0.418,   0.739,   0.741,  -1.071,  -0.866,   1.571,   0.103,   0.116,   0.094,   0.094,   0.093,   0.108,   0.112,   0.105,  -0.676,  -0.080,  -0.475,   0.651,   0.698,  -1.136,  -0.954,   1.489,  -0.591,   0.010,  -0.409,   0.729,   0.739,  -1.077,  -0.874,   1.583,  -0.501,   0.136,  -0.339,   0.821,   0.807,  -0.981,  -0.781,   1.641
280,  -0.581,   0.012,  -0.416,   0.735,   0.742,  -1.054,  -0.870,   1.563,   0.097,   0.136,   0.082,   0.070,   0.100,   0.091,   0.117,   0.090,  -0.638,  -0.117,  -0.471,   0.674,   0.693,  -1.111,  -0.971,   1.500,  -0.590,   0.008,  -0.422,   0.734,   0.749,  -1.063,  -0.879,   1.579,  -0.482,   0.120,  -0.343,   0.782,   0.796,  -0.988,  -0.807,   1.613
285,  -0.600,   0.011,  -0.423,   0.739,   0.743,  -1.076,  -0.885,   1.581,   0.047,   0.071,   0.041,   0.049,   0.054,   0.058,   0.043,   0.059,  -0.629,  -0.036,  -0.440,   0.708,   0.731,  -1.105,  -0.915,   1.548,  -0.598,   0.014,  -0.424,   0.734,   0.743,  -1.074,  -0.882,   1.574,  -0.576,   0.042,  -0.402,   0.767,   0.765,  -1.045,  -0.847,   1.615
