iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec, med_err_ra, med_err_dec
1514+137,   1,  0.0, 2020.38, 2020.38, 2020.38, 229.3214703843, 0.000, +13.5401496868, 0.000, 0.145, 0.266
1514+197, 265, 30.0, 2015.63, 1991.49, 2021.44, 229.2366506922, 0.010, +19.5369421897, 0.011, 0.199, 0.225
1514-241, 297, 32.6, 2002.44, 1987.12, 2019.71, 229.4242213992, 0.015, -24.3720767113, 0.033, 0.335, 0.541
1514-261,   6,  5.5, 2018.12, 2014.60, 2020.06, 229.3609265604, 0.112, -26.3052718851, 0.117, 0.161, 0.435
1515-164,   2,  0.5, 2019.31, 2019.08, 2019.53, 229.4627266033, 0.110, -16.6551991261, 0.034, 0.177, 0.483
1516-129,   2,  0.5, 2019.38, 2019.13, 2019.63, 229.8731405574, 0.283, -13.0883089929, 0.337, 0.252, 0.639
1516-240,   3,  2.5, 2019.23, 2017.61, 2020.06, 229.9274368212, 0.106, -24.1979567130, 0.255, 0.182, 0.414
1517-116,   5, 14.7, 2015.24, 2005.52, 2020.26, 229.9366000372, 0.078, -11.8623685122, 0.192, 0.107, 0.251
1517-385,   5,  5.4, 2017.57, 2014.42, 2019.85, 230.1686823033, 1.141, -38.7589961028, 0.980, 1.921, 3.956
1518+045,   3, 22.8, 2009.66, 1995.54, 2018.38, 230.3439316506, 0.009,  +4.3417046381, 0.095, 0.103, 0.213
1518+046,   4, 24.0, 2012.13, 1995.54, 2019.53, 230.3100769741, 0.345,  +4.5060104989, 0.696, 0.182, 0.399
1518+162,   5,  5.7, 2017.62, 2013.47, 2019.20, 230.1544211516, 0.040, +16.0240643620, 0.262, 0.223, 0.406
1518+170,   1,  0.0, 2020.38, 2020.38, 2020.38, 230.3189690681, 0.000, +16.9008231979, 0.000, 0.245, 0.412
1519+054,   2,  0.3, 2020.19, 2020.02, 2020.36, 230.4313900360, 0.095,  +5.2847707822, 0.804, 0.226, 0.485
1519+181,   5, 12.2, 2015.24, 2007.03, 2019.20, 230.3232456269, 0.067, +17.9336297599, 0.106, 0.206, 0.382
1519+567,   3,  1.9, 2019.20, 2018.38, 2020.26, 230.0798083707, 0.144, +56.5987913873, 0.028, 0.430, 0.410
1519-273,1485, 34.3, 2011.00, 1987.22, 2021.48, 230.6569833156, 0.007, -27.5029959840, 0.007, 0.236, 0.258
1519-294,  59, 23.7, 2013.17, 1997.66, 2021.34, 230.6061930778, 0.085, -29.6070085779, 0.063, 0.756, 0.838
1520+319, 299, 25.1, 2014.49, 1996.37, 2021.42, 230.5416322172, 0.011, +31.7373283061, 0.010, 0.207, 0.234
1520+437, 343, 24.9, 2014.24, 1996.44, 2021.39, 230.4567244959, 0.010, +43.6109078214, 0.010, 0.175, 0.240
1520+725,   3,  2.1, 2019.15, 2018.14, 2020.26, 230.1985027311, 0.844, +72.4182142898, 0.141, 0.369, 0.596
1520-330,   3,  1.5, 2019.07, 2018.38, 2019.85, 230.8434796904, 0.227, -33.1592817863, 0.611, 0.396, 0.887
1520-334,   5,  5.4, 2017.57, 2014.42, 2019.85, 230.9751659963, 0.381, -33.6458990767, 0.405, 0.653, 1.845
1521-300,   5, 15.5, 2014.81, 2004.35, 2019.85, 231.1392260829, 0.270, -30.2059297216, 0.543, 0.193, 0.599
1522+113,   5, 23.7, 2013.18, 1995.54, 2019.20, 231.2622259318, 0.160, +11.1289063539, 0.180, 0.095, 0.194
1522+155,  28, 21.5, 2005.49, 1996.01, 2017.54, 231.1733811555, 0.064, +15.3558473341, 0.124, 0.519, 1.175
1522+669,   4,  1.7, 2018.95, 2018.14, 2019.88, 230.7455847406, 0.461, +66.7518721268, 0.165, 0.368, 0.275
1522+791,   4, 22.6, 2013.46, 1997.66, 2020.26, 230.2616578762, 0.646, +78.9750722752, 0.115, 0.135, 0.114
1523+033,   2,  0.3, 2020.19, 2020.02, 2020.36, 231.4539892762, 0.486,  +3.1405436042, 2.882, 0.945, 1.138
