iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1916+062,   5,   0,   0,   0, 289.822,   6.329,  -0.04141,  +0.19800, 0.08203, 0.13420,-0.42481
1917+495,   5,   0,   0,   0, 289.690,  49.632,  +0.03022,  -0.04929, 0.01419, 0.03641,-0.36832
1917-248,  10,   0,   0,   0, 290.060, -24.752,  -0.02150,  +0.01534, 0.02515, 0.06428,-0.25085
1917-386,   3,   2,   2,   0, 290.179, -38.518,,,,,
1918-026,   8,   0,   0,   0, 290.180,  -2.603,  -0.03313,  -0.01118, 0.01778, 0.04057,-0.09462
1919+086,   5,   0,   0,   0, 290.578,   8.699,  +0.03201,  -0.10345, 0.03906, 0.08419,-0.40223
1919+434,   3,   2,   2,   0, 290.291,  43.562,,,,,
1919-166,   5,   0,   0,   0, 290.645, -16.548,  -0.34433,  +0.94575, 0.23968, 0.57292,-0.62742
1920+154,   6,   0,   0,   0, 290.645,  15.503,  +0.08689,  -0.00456, 0.04110, 0.02974, 0.15604
1920+450,   4,   1,   1,   0, 290.476,  45.107,,,,,
1920-211, 338,  18,  14,   8, 290.884, -21.076,  +0.01394,  -0.01027, 0.00233, 0.00341,-0.45726
1921-159,   3,   2,   1,   1, 291.049, -15.817,,,,,
1921-293,2132, 431, 318, 271, 291.213, -29.242,  -0.00825,  -0.00714, 0.00089, 0.00156, 0.04241
1922+155,   6,   0,   0,   0, 291.164,  15.679,  -0.00350,  -0.00495, 0.00423, 0.00760,-0.13782
1922+333,   1,   4,   3,   2, 291.073,  33.492,,,,,
1922-224,  14,   0,   0,   0, 291.416, -22.326,  +0.03158,  -0.01303, 0.01144, 0.02396,-0.16811
1922-341,   3,   2,   1,   2, 291.321, -34.017,,,,,
1923+123,   5,   0,   0,   0, 291.420,  12.461,  -0.01270,  -0.02282, 0.01503, 0.03070, 0.08969
1923+210,1011, 120,  91,  39, 291.498,  21.107,  +0.00398,  +0.01078, 0.00142, 0.00139, 0.09303
1923-101,   4,   1,   1,   1, 291.612, -10.098,,,,,
1924+507,   5,   0,   0,   0, 291.526,  50.883,  -0.01126,  -0.02726, 0.00692, 0.02273, 0.10167
1925-206,   7,   1,   1,   0, 292.038, -20.595,  -0.01080,  -0.08607, 0.01000, 0.02857,-0.42042
1925-610,  53,  19,  19,   1, 292.526, -60.936,  -0.00660,  +0.02460, 0.00521, 0.01470, 0.22200
1926+050,   4,   1,   0,   1, 292.333,   5.133,,,,,
1926+087,  13,   0,   0,   0, 292.170,   8.813,  +0.00742,  -0.02111, 0.00588, 0.01297,-0.37318
1926+233,   5,   0,   0,   0, 292.269,  23.425,  -0.04247,  -0.01028, 0.02390, 0.02761, 0.00387
1926+440,   6,   0,   0,   0, 292.089,  44.201,  +0.03631,  -0.04484, 0.04733, 0.10236, 0.27313
1927+090,   5,   0,   0,   0, 292.449,   9.168,  +0.05814,  +0.01552, 0.08680, 0.16643,-0.51297
1927+256,   8,   0,   0,   0, 292.437,  25.721,  +0.01230,  -0.01057, 0.01439, 0.03085, 0.00623
1927-209,   6,   0,   0,   0, 292.544, -20.885,  -0.06109,  -0.31368, 0.07909, 0.21418,-0.34259
1927-223,   9,   0,   0,   0, 292.706, -22.233,  -0.36377,  +0.48515, 0.13082, 0.24090, 0.22377
1928+154,   6,   1,   0,   1, 292.720,  15.543,  -0.01543,  -0.00577, 0.00534, 0.00644, 0.09125
1928+681,   4,   1,   1,   0, 292.086,  68.250,,,,,
1928+738,  47,  94,  87,  28, 291.952,  73.967,  -0.00113,  -0.00992, 0.00302, 0.01040, 0.08072
1928+770,   2,   3,   3,   0, 291.630,  77.109,,,,,
1928-698,   5,   4,   3,   1, 293.380, -69.716,  +0.00460,  +0.05383, 0.04740, 0.07469,-0.46983
1929+226, 216,  31,  24,   9, 292.854,  22.725,  -0.00780,  -0.01049, 0.00247, 0.00385,-0.11860
1929+312,   4,   1,   0,   1, 292.786,  31.376,,,,,
1929-295,   3,   2,   2,   0, 293.148, -29.478,,,,,
1929-457,  19,   5,   4,   1, 293.187, -45.611,  +0.00544,  -0.01725, 0.00947, 0.02122, 0.01326
1931+149,   5,   0,   0,   0, 293.341,  15.080,  +0.00600,  +0.06602, 0.01715, 0.03408,-0.12751
1931-243,   5,   2,   2,   0, 293.720, -24.273,  +0.08836,  +0.16080, 0.04597, 0.11812,-0.07904
1932+106,   5,   0,   0,   0, 293.646,  10.728,  -0.04085,  -0.01518, 0.01730, 0.04089,-0.26245
1932+174,   4,   1,   1,   0, 293.709,  17.537,,,,,
1932+204,  25,   1,   1,   0, 293.794,  20.532,  +0.00563,  -0.00003, 0.00617, 0.01080,-0.19183
1932-161,   2,   3,   3,   2, 293.899, -16.042,,,,,
1933-400, 111,  24,  16,   9, 294.318, -39.967,  -0.00337,  -0.01146, 0.00522, 0.00588,-0.59708
1934+226,   5,   0,   0,   0, 294.122,  22.774,  +0.01220,  -0.03548, 0.12769, 0.15781, 0.28655
1934+365,   4,   1,   1,   0, 294.116,  36.710,,,,,
1934+615,   5,   0,   0,   0, 293.670,  61.645,  +0.00201,  +0.00027, 0.01421, 0.03783,-0.14190
1934-065,   5,   0,   0,   0, 294.333,  -6.458,  -0.00392,  +0.07054, 0.05904, 0.13454,-0.05922
1934-638,   0,   5,   5,   2, 294.854, -63.713,,,,,
1935+360,   5,   0,   0,   0, 294.381,  36.127,  +0.01832,  +0.03847, 0.01682, 0.03551, 0.06527
1935-179,   6,   0,   0,   0, 294.521, -17.822,  -0.00129,  +0.06396, 0.01866, 0.05005,-0.47812
1935-692,  41,  24,  24,   1, 295.106, -69.132,  -0.01200,  -0.03731, 0.00436, 0.01832, 0.24790
1936+046,  13,   1,   0,   1, 294.628,   4.803,  +0.01596,  +0.05798, 0.01706, 0.03309,-0.26293
1936+095,   4,   1,   1,   0, 294.682,   9.706,,,,,
1936+714,   4,   6,   6,   1, 294.015,  71.525,,,,,
1936-155, 418,  32,  18,  20, 294.861, -15.429,  +0.00746,  -0.00816, 0.00155, 0.00234,-0.17969
1936-623,   5,   8,   7,   1, 295.341, -62.189,  -0.00535,  -0.08810, 0.04864, 0.15485,-0.21435
1937+381,   5,   0,   0,   0, 294.890,  38.293,  -0.01386,  -0.02020, 0.02387, 0.03458, 0.05014
1937-101,  32,   4,   3,   1, 294.989, -10.045,  +0.02529,  +0.03747, 0.00722, 0.01284,-0.03706
1938+371,   4,   1,   1,   0, 294.966,  37.225,,,,,
1938-202,   8,   0,   0,   0, 295.239, -20.114,  -0.00386,  -0.15608, 0.17078, 0.23208,-0.14339
1938-296,   5,   0,   0,   0, 295.392, -29.550,  -0.26516,  +0.29959, 0.17939, 0.49182,-0.14110
1938-302,   5,   0,   0,   0, 295.293, -30.122,  -0.08162,  -0.00316, 0.03251, 0.10006, 0.23822
1939+429,   5,   0,   0,   0, 295.205,  43.074,  +0.01252,  +0.05022, 0.03131, 0.04846, 0.27560
1939+813,   1,   6,   6,   2, 293.845,  81.504,,,,,
1939-053,   4,   1,   1,   0, 295.446,  -5.192,,,,,
1939-316,   5,   0,   0,   0, 295.670, -31.504,  +0.00393,  +0.00703, 0.02394, 0.08001,-0.50997
1941+413,   5,   0,   0,   0, 295.744,  41.490,  -0.00739,  -0.00098, 0.00769, 0.01803, 0.02732
1941-554,   7,   0,   0,   0, 296.351, -55.347,  -0.07338,  -0.63252, 0.09365, 0.33896, 0.55801
1942+097,   5,   0,   0,   0, 296.316,   9.883,  +0.01036,  +0.01409, 0.00476, 0.01343, 0.05426
1942+722,   1,   4,   4,   0, 295.362,  72.362,,,,,
1942-020,   5,   0,   0,   0, 296.345,  -1.889,  -0.00667,  +0.04558, 0.01027, 0.02434,-0.32042
1942-313,   5,   0,   0,   0, 296.497, -31.194,  +0.01685,  -0.08045, 0.02127, 0.06568,-0.29941
1943+228,   7,   0,   0,   0, 296.526,  23.001,  -0.02075,  +0.03009, 0.01342, 0.02811,-0.40183
1943+546,   0,   5,   5,   0, 296.131,  54.802,,,,,
1944+126,   3,   2,   2,   0, 296.831,  12.815,,,,,
1944+838,   1,   5,   5,   0, 294.415,  83.941,,,,,
1945-325,   4,   1,   1,   0, 297.105, -32.468,,,,,
1946+358,   5,   0,   0,   0, 297.019,  35.939,  +0.01476,  +0.00691, 0.02582, 0.03721,-0.04307
1946+396,   5,   0,   0,   0, 297.149,  39.731,  -0.00666,  +0.03641, 0.03459, 0.05254,-0.06287
1946+708,   2,   3,   3,   2, 296.473,  70.930,,,,,
1946-200,   6,   2,   1,   2, 297.473, -19.954,  +0.00322,  +0.00318, 0.00723, 0.02001,-0.01898
1947+079,  18,  14,   8,  13, 297.523,   8.121,  -0.05519,  +0.03708, 0.02578, 0.02868,-0.08611
1947+242,   5,   0,   0,   0, 297.388,  24.355,  +0.03617,  +0.04594, 0.05117, 0.06844, 0.24126
1948+505,   7,   0,   0,   0, 297.431,  50.692,  -0.01668,  +0.00958, 0.00780, 0.02195, 0.21087
1948-186,   6,   0,   0,   0, 297.867, -18.513,  -0.00324,  -0.02029, 0.02335, 0.06195,-0.36170
1949+014,   5,   0,   0,   0, 297.900,   1.579,  -0.01440,  -0.01211, 0.00488, 0.01055,-0.00018
1949-052,   9,   0,   0,   0, 297.948,  -5.162,  -0.02078,  -0.02452, 0.01158, 0.02044,-0.06795
1950+253,   5,   0,   0,   0, 298.201,  25.448,  +0.00044,  -0.00705, 0.01635, 0.03229, 0.04015
1950+573,   2,   3,   3,   0, 297.779,  57.455,,,,,
1950+727,   2,   3,   3,   0, 297.397,  72.879,,,,,
1950-207,   6,   0,   0,   0, 298.259, -20.609,  -0.02174,  -0.07713, 0.16419, 0.28974, 0.02945
1950-613,   6,   8,   8,   1, 298.795, -61.255,  -0.08601,  +0.04582, 0.03851, 0.06574, 0.39886
1951+355,  19,   0,   0,   0, 298.379,  35.633,  -0.00485,  +0.00441, 0.00643, 0.01293, 0.38859
1951-115,   5,   0,   0,   0, 298.671, -11.390,  +0.00930,  -0.02256, 0.00876, 0.02179,-0.25098
1952+138,   5,   2,   2,   0, 298.798,  13.971,  -0.00180,  +0.00371, 0.01118, 0.01859,-0.10823
1953-200,   5,   0,   0,   0, 299.100, -19.962,  -0.23234,  +0.08753, 0.17385, 0.22151, 0.08237
1953-325,   9,   1,   1,   0, 299.248, -32.429,  +0.01640,  +0.01626, 0.01012, 0.02827,-0.28760
1954+187,   6,   0,   0,   0, 299.128,  18.934,  +1.41866,  -0.06677, 0.41492, 0.54208, 0.19478
1954+282,   6,   1,   1,   0, 299.192,  28.349,  -0.00575,  -0.00485, 0.00997, 0.01875,-0.01393
1954+513,  69,  54,  50,  12, 298.928,  51.530,  +0.00308,  +0.00061, 0.00170, 0.00322,-0.07263
1954+617,   5,   0,   0,   0, 298.733,  61.900,  +0.10457,  +0.38472, 0.36162, 0.77961,-0.33243
1954-388,1414, 216, 171,  83, 299.499, -38.752,  -0.00121,  -0.00867, 0.00086, 0.00154,-0.06209
1955+335,   7,   0,   0,   0, 299.419,  33.641,  -0.01296,  -0.03412, 0.01328, 0.01710,-0.44801
1955+343,   5,   0,   0,   0, 299.394,  34.465,  -0.00857,  +0.14696, 0.06950, 0.12047,-0.30884
1957+386,   3,   2,   2,   0, 299.842,  38.782,,,,,
