iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1308+326,2173, 121,  71,  92, 197.619,  32.345,  +0.00677,  +0.00092, 0.00159, 0.00238, 0.00907
1308+328, 300,  29,  20,  20, 197.748,  32.560,  +0.00442,  +0.00325, 0.00479, 0.00654, 0.01509
1308+554,  39,   7,   5,   4, 197.763,  55.232,  -0.02315,  +0.00625, 0.02707, 0.03056,-0.09565
1310-041,   5,   2,   1,   1, 198.212,  -4.414,  +0.02038,  +0.02659, 0.02380, 0.04020,-0.06278
1312-533,   4,   7,   7,   0, 198.767, -53.577,,,,,
1313-333, 260,  35,  18,  31, 199.033, -33.650,  +0.00852,  +0.00696, 0.00468, 0.00762,-0.17244
1315+346,  28,   0,   0,   0, 199.402,  34.421,  -0.00797,  +0.00094, 0.01929, 0.02790,-0.16336
1316-120,   4,   1,   0,   1, 199.800, -12.292,,,,,
1316-123,   5,   0,   0,   0, 199.882, -12.657,  +0.16245,  -0.21096, 0.02673, 0.04502,-0.01647
1317+520,   6,   1,   0,   1, 199.942,  51.802,  -0.14805,  -0.06426, 0.20571, 0.23312,-0.46864
1318+225,  11,   0,   0,   0, 200.297,  22.270,  +0.01279,  +0.01214, 0.00940, 0.01590, 0.13533
1318-263,   7,   1,   1,   1, 200.308, -26.603,  +0.04434,  +0.09515, 0.04325, 0.11506,-0.46456
1319-093,   7,   6,   5,   1, 200.654,  -9.627,  -0.00443,  +0.01830, 0.05399, 0.08428,-0.05771
1320-446,   1,   5,   4,   3, 200.768, -44.876,,,,,
1321-105,   6,   1,   0,   1, 201.107, -10.823,  -0.03064,  -0.00200, 0.03817, 0.06446,-0.01326
1322+835,   5,   2,   0,   2, 200.440,  83.270,  -0.08403,  +0.09108, 0.14594, 0.07968,-0.20808
1322-110,   5,   0,   0,   0, 201.305, -11.294,  -0.20702,  +0.53031, 0.04702, 0.09574,-0.21569
1322-427,   8,   3,   0,   3, 201.365, -43.019,  -0.06418,  -0.03049, 0.08920, 0.11822, 0.45242
1323+321,   8,   3,   3,   1, 201.569,  31.903,  -0.30592,  +0.21681, 0.08912, 0.09631,-0.09085
1323+799,   5,   0,   0,   0, 200.965,  79.714,  -0.00873,  -0.00283, 0.06443, 0.04806, 0.03509
1323-165,   0,   5,   4,   5, 201.537, -16.851,,,,,
1323-527,  15,   1,   0,   1, 201.705, -52.940,  -0.10751,  -0.73901, 0.12928, 0.88160, 0.09026
1324+224, 717,  62,  44,  35, 201.754,  22.181,  +0.00394,  -0.00948, 0.00325, 0.00446,-0.19796
1325+126,  11,   1,   1,   1, 201.978,  12.386,  +0.05379,  -0.02812, 0.05038, 0.06131,-0.01888
1325-558,  43,   8,   1,   7, 202.255, -56.134,  -0.03251,  -0.08074, 0.02479, 0.05050, 0.03978
1326-697,   7,   0,   0,   0, 202.546, -70.054,  +0.09211,  +0.51699, 0.14938, 0.78531, 0.12732
1327+504, 106,  12,   8,   6, 202.274,  50.157,  -0.00655,  -0.00322, 0.01913, 0.02210,-0.07096
1328+307,  16,   5,   5,   3, 202.785,  30.509,  +0.10947,  +0.10307, 0.04257, 0.04690, 0.31244
1329-049,   4,   2,   2,   0, 203.019,  -5.162,,,,,
1330+022,  40,   5,   5,   0, 203.222,   2.013,  -0.00453,  -0.01537, 0.03980, 0.05429,-0.08052
1330+476,  35,   5,   4,   2, 203.189,  47.373,  -0.00317,  -0.02460, 0.01349, 0.01291,-0.04192
1331+170,   5,   0,   0,   0, 203.399,  16.818,  -0.02902,  +0.02412, 0.01310, 0.02273,-0.08528
1331-109,   0,   6,   5,   4, 203.459, -11.214,,,,,
1331-115,   5,   0,   0,   0, 203.517, -11.837,  -0.00784,  -0.04122, 0.04041, 0.06092, 0.13731
1333-049,   4,   2,   2,   1, 203.985,  -5.195,,,,,
1333-082,   5,   1,   1,   1, 204.034,  -8.498,  +0.01377,  +0.03361, 0.04270, 0.07059, 0.02934
1333-152,  25,   3,   3,   1, 204.142, -15.497,  -0.00586,  -0.10250, 0.04548, 0.08756,-0.10501
1333-337,  23,   2,   1,   2, 204.163, -33.966,  -0.10644,  +0.07731, 0.14585, 0.24779,-0.58410
1334-127,2981, 276, 148, 213, 204.416, -12.957,  -0.00217,  -0.01082, 0.00104, 0.00194,-0.06258
1334-649,   7,   1,   1,   1, 204.469, -65.157,  +0.10938,  -0.08757, 0.15659, 0.12238,-0.16453
1335+552,   7,   0,   0,   0, 204.457,  55.017,  +0.00889,  -0.00968, 0.07391, 0.06717,-0.13346
1336-237,  11,   0,   0,   0, 204.757, -24.021,  -0.01750,  +0.02727, 0.02503, 0.05537,-0.02529
1336-260,   8,   0,   0,   0, 204.833, -26.342,  -0.02795,  +0.04359, 0.04946, 0.10171, 0.05542
1338+381,   9,   0,   0,   0, 205.096,  37.912,  -0.03229,  +0.13438, 0.06078, 0.11224, 0.46709
1339-287,  14,   2,   0,   2, 205.564, -29.012,  -0.05096,  +0.07765, 0.03672, 0.07527,-0.05812
1341-171,   5,   1,   1,   1, 206.060, -17.395,  +0.00294,  +0.20362, 0.07283, 0.17936,-0.00063
1342+662, 235,  21,  12,  16, 205.941,  66.040,  -0.01094,  -0.01311, 0.00488, 0.00520, 0.07806
1342+663,  90,  12,   7,   9, 206.036,  66.103,  -0.02113,  -0.01676, 0.00743, 0.00694, 0.18488
1343-601,   5,   2,   2,   0, 206.704, -60.408,  +0.11600,  +0.43453, 0.15298, 0.18951, 0.35364
1345+125,  15,   1,   1,   1, 206.889,  12.290,  -0.03447,  -0.03283, 0.02393, 0.03787,-0.21878
1346-109,   4,   1,   1,   0, 207.263, -11.167,,,,,
1346-113,   7,   0,   0,   0, 207.381, -11.548,  +0.02344,  -0.02950, 0.03024, 0.05118, 0.11816
1347+539,  30,   0,   0,   0, 207.394,  53.688,  -0.00529,  -0.00042, 0.01000, 0.01189,-0.07984
1348+308,  68,   6,   6,   4, 207.720,  30.582,  +0.00749,  -0.04064, 0.01744, 0.02588,-0.04028
1349-145,   7,   0,   0,   0, 207.969, -14.821,  +0.02151,  -0.12757, 0.05253, 0.12029,-0.12860
1349-439,  71,  10,   5,   9, 208.236, -44.211,  +0.03429,  -0.06487, 0.01826, 0.01827,-0.42137
1351-018,1306, 120,  68,  79, 208.529,  -2.101,  -0.00003,  -0.00190, 0.00172, 0.00401, 0.01059
1352-104, 106,  12,   5,  11, 208.694, -10.684,  +0.01100,  +0.00913, 0.01323, 0.02152,-0.10804
1353-171,   5,   1,   0,   1, 209.029, -17.409,  +0.02937,  +0.34486, 0.16513, 0.36370,-0.23123
1354+195, 126,  19,  10,  17, 209.268,  19.319,  -0.00362,  +0.02978, 0.00792, 0.01156,-0.19131
1354-107,   6,   0,   0,   0, 209.195, -11.025,  -0.18024,  +0.44931, 0.11227, 0.19211, 0.03383
1354-152, 230,  40,  19,  30, 209.297, -15.458,  +0.00340,  +0.00452, 0.00614, 0.00962,-0.24036
1354-174,  28,   5,   4,   1, 209.275, -17.734,  -0.00909,  -0.09853, 0.03308, 0.05337,-0.13788
1356+022,   5,   0,   0,   0, 209.863,   1.998,  +0.01422,  -0.07924, 0.01359, 0.02265,-0.36486
1357+769,2065,  66,  43,  47, 209.481,  76.723,  -0.00019,  -0.00292, 0.00117, 0.00125, 0.01043
1400-184,   6,   0,   0,   0, 210.702, -18.680,  +0.19159,  -0.14179, 0.13576, 0.26743,-0.04961
1402+044,  56,   3,   2,   2, 211.255,   4.260,  +0.00618,  -0.01637, 0.00793, 0.01552,-0.10455
1402-012,  32,   6,   2,   5, 211.191,  -1.506,  +0.02947,  +0.10102, 0.04225, 0.06012,-0.01397
1404+286,1837, 143,  87,  92, 211.752,  28.454,  -0.00206,  +0.00303, 0.00174, 0.00343,-0.00314
1406+564,   7,   0,   0,   0, 212.054,  56.226,  +0.00763,  +0.03070, 0.06553, 0.07138,-0.27512
1406-076, 333,  34,  23,  20, 212.235,  -7.874,  +0.01147,  -0.01416, 0.00523, 0.00915,-0.15747
