iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1039-474,  11,   4,   4,   1, 160.436, -47.667,  -0.19470,  +0.34055, 0.06765, 0.21296, 0.11848
1040+080,   5,   0,   0,   0, 160.740,   7.814,  -0.24412,  +0.05321, 0.23962, 0.18211,-0.01645
1040+123,  18,   2,   2,   0, 160.686,  12.059,  +0.02740,  -0.01995, 0.00617, 0.01053,-0.13384
1040+244, 294,  49,  36,  28, 160.788,  24.143,  +0.00665,  +0.00710, 0.00140, 0.00201,-0.00117
1040-414,   8,   0,   0,   0, 160.685, -41.724,  +0.11453,  -0.17071, 0.05898, 0.16915,-0.01178
1041+536,   5,   0,   0,   0, 161.044,  53.372,  -0.01239,  -0.02271, 0.01030, 0.03201,-0.09769
1041-452,   4,   1,   1,   0, 160.964, -45.503,,,,,
1042+071,  43,   1,   0,   1, 161.233,   6.927,  +0.00334,  -0.01534, 0.00461, 0.00913,-0.20130
1042+178,   6,   0,   0,   0, 161.310,  17.597,  +0.00248,  -0.00561, 0.01485, 0.03229,-0.51592
1043+066,  13,   0,   0,   0, 161.470,   6.410,  +0.01126,  -0.04924, 0.00980, 0.02383,-0.57407
1043+541,   5,   0,   0,   0, 161.600,  53.907,  +0.01107,  -0.07280, 0.01853, 0.03205, 0.32075
1043-291,   3,   2,   0,   2, 161.419, -29.457,,,,,
1044+007,   6,   0,   0,   0, 161.779,   0.494,  +0.01538,  +0.08641, 0.02086, 0.04133,-0.10009
1044+719, 569, 763, 692, 242, 162.115,  71.727,  -0.00002,  +0.01594, 0.00038, 0.00137,-0.10452
1045+011,   6,   0,   0,   0, 162.032,   0.929,  +0.00592,  -0.02446, 0.02122, 0.03938,-0.40636
1045+019,   6,   3,   2,   2, 162.095,   1.697,  -0.09432,  -0.04963, 0.04387, 0.07977, 0.10172
1045-188, 128,  37,  17,  24, 162.028, -19.160,  +0.00881,  -0.03769, 0.00325, 0.00604,-0.10852
1045-620,  14,   3,   3,   0, 161.929, -62.287,  -0.00470,  -0.02464, 0.00946, 0.07619,-0.34753
1046+867,   0,   6,   6,   0, 163.593,  86.493,,,,,
1046-222,   4,   1,   0,   1, 162.341, -22.519,,,,,
1046-409,  16,   2,   2,   0, 162.159, -41.233,  +0.01444,  -0.03096, 0.03007, 0.09371, 0.08341
1047+038,   5,   0,   0,   0, 162.406,   3.604,  +0.03618,  -2.16377, 0.66677, 1.88349,-0.32645
1047+048,   6,   0,   0,   0, 162.542,   4.547,  +0.02318,  -0.00263, 0.05749, 0.10013,-0.33805
1048+347,   3,   2,   0,   2, 162.742,  34.503,,,,,
1048+470,   4,   1,   1,   0, 162.816,  46.738,,,,,
1048-313,  27,   3,   3,   2, 162.770, -31.637,  +0.03457,  +0.00606, 0.01300, 0.02709,-0.14508
1048-470,   5,   0,   0,   0, 162.723, -47.318,  +0.19138,  -1.73260, 0.19433, 1.02184, 0.09991
1048-526,   9,   1,   1,   0, 162.658, -52.830,  +0.01360,  +0.17950, 0.22151, 0.59181, 0.38665
1049+215,  48,   5,   5,   1, 162.953,  21.331,  -0.00344,  +0.00030, 0.00385, 0.00634,-0.08203
1050+024,   5,   0,   0,   0, 163.210,   2.157,  +0.23079,  +0.10335, 0.15054, 0.34021,-0.37866
1050+341,   6,   0,   0,   0, 163.209,  33.918,  +0.63957,  +1.15365, 1.59815, 3.46177,-0.26563
1051+397,   5,   0,   0,   0, 163.635,  39.470,  +0.04571,  +0.08590, 0.02663, 0.03921,-0.03844
1052+023,   6,   0,   0,   0, 163.822,   2.096,  -0.05722,  -0.05475, 0.04831, 0.09996,-0.18594
1053+704, 312, 209, 202,  27, 164.223,  70.196,  -0.00801,  -0.06020, 0.00750, 0.02391, 0.00448
1053+815, 271, 580, 575,  47, 164.548,  81.242,  +0.03246,  +0.12361, 0.00269, 0.01892,-0.07887
1054+004,   6,   0,   0,   0, 164.316,   0.201,  +0.06773,  +0.10183, 0.05347, 0.08900, 0.29414
1054-234,   6,   0,   0,   0, 164.352, -23.700,  +0.04479,  +0.02244, 0.04683, 0.10721, 0.59034
1055+018, 364,  51,  31,  30, 164.623,   1.566,  -0.01757,  +0.01793, 0.00098, 0.00107,-0.41343
