iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0746+110,   5,   0,   0,   0, 117.364,  10.959,  -0.08658,  -0.21324, 0.05409, 0.09719, 0.21157
0746+483,   5,   0,   0,   0, 117.585,  48.248,  -0.00808,  +0.01718, 0.01370, 0.02554, 0.03768
0746+503,   6,   0,   0,   0, 117.535,  50.252,  -0.00687,  +0.00909, 0.02444, 0.03890, 0.12629
0746+688,   5,   0,   0,   0, 117.942,  68.674,  -0.02380,  +0.00108, 0.05057, 0.09405, 0.48316
0746-167,   5,   0,   0,   0, 117.203, -16.841,  +0.02218,  +0.00942, 0.01946, 0.04689, 0.37835
0747+185,  71,   0,   0,   0, 117.501,  18.387,  -0.00186,  +0.01472, 0.00450, 0.00678,-0.05187
0747+194,   8,   0,   0,   0, 117.666,  19.330,  +0.04616,  -0.16554, 0.07738, 0.17254,-0.14919
0748+126, 804,  10,  10,   5, 117.717,  12.518,  +0.00326,  +0.00207, 0.00112, 0.00150,-0.03099
0748+333,   5,   0,   0,   0, 117.974,  33.222,  -0.00356,  +0.01607, 0.01612, 0.03887,-0.03397
0748-006,   5,   0,   0,   0, 117.793,  -0.781,  +0.13209,  +0.06695, 0.15124, 0.26636,-0.34018
0748-069,   5,   0,   0,   0, 117.696,  -7.101,  -0.01200,  +0.00425, 0.04457, 0.08595, 0.06485
0748-378,   6,   0,   0,   0, 117.570, -37.997,  -1.77080, +16.04379, 3.72614,12.19007, 0.01297
0749+376,   5,   0,   0,   0, 118.170,  37.507,  +0.00071,  +0.00768, 0.01211, 0.02639,-0.42765
0749+540,1216,  12,  12,   3, 118.256,  53.883,  -0.00001,  +0.00348, 0.00047, 0.00094, 0.09965
0749-333,   6,   0,   0,   0, 117.773, -33.527,  -0.03749,  -0.10852, 0.06243, 0.19022, 0.00354
0751+393,   5,   0,   0,   0, 118.654,  39.180,  +0.20014,  -0.17019, 0.28345, 0.51367,-0.56937
0752+258,   7,   0,   0,   0, 118.904,  25.711,  +0.05315,  +0.28338, 0.06491, 0.15725,-0.13776
0752+639,   5,   0,   0,   0, 119.228,  63.800,  -0.01463,  -0.07792, 0.01353, 0.05816, 0.10773
